Реестровый номер закупки,Наименование закупки,Идентификационный код закупки,Начальная (максимальная) цена контракта
№0175300014825000090,?Поставка комплектующих для ремонта водопроводных сетей на территории Чайкинского сельского поселения Джанкойского района Республики Крым,'253910500414391050100100070010000244',7099750.0
№0859200001125010332,"Проведение строительного контроля при строительстве объекта капитального строительства: "" Приют для содержания животных без владельцев в Рязанском районе""",'252623418122662340100100440017112414',7479977.38
№32515210737,Поставка товара:   Химические реактивы: - соединения редкоземельных металлов - высокочистые неорганические соединения для лабораторных целей                                   ,,502248.0
№32515210046,Комплект инструмента ПБФ (проксимальный бедренный фиксатор),,320000.0
№0321300009225000638,Поставка нефтепродуктов,'252263101798726310100110460040000244',2971358.49
№32515210044,Поставка молока и молочной продукции на 4 квартал 2025 года.,,70434.76
№0372200242325000015,Поставка велосипедов спортивных шоссейных,'252783838700678130100100320013092244',10320000.0
№32515210736,Изготовление печатной продукции по макетам Заказчика и образцам готовой продукции,,2725200.4
№0316300044125000001,Поставка продуктов питания (1 лот),'253142800335014280100100050010000244',69550.0
№0345200004025000961,Поставка реагентов и расходных материалов для иммунохимических исследований на иммунохимический анализатор Mindray CL-1200 для КДЛ ПЦ ГБУЗ ЛОКБ на 2025-2027 г. (лот 4),'252470000125447060100109420010000244',516177.9
№0172200003325000019,Поставка расходных материалов для оргтехники,'252780802599378410100100320010000242',924092.0
№0381500000125000091,"Выполнение работ по капитальному ремонту наружных сетей электроосвещения ул. Международная, ул. Стартовая, Краснодарский край, пгт. Сириус",'252236702591023780100101160014321243',17739411.41
№0373100043225000198,"Услуги в целях защиты территории, зданий, сооружений и имущества",'251773401321477340100100330010000244',7855611.27
№0373200041525001219,"Поставка сейфов в ГБУ Социальный дом ""Ярославский""",'252770182732077090100111870010000244',2100000.0
№0372200052125000178,"Поставка мнемосхемы для оснащения вновь вводимого объекта СПБ ГБУЗ ДГП № 49 по адресу: Санкт-Петербург, внутригородское муниципальное образование города федерального значения Санкт-Петербурга поселок Шушары, территория Пулковское, Соколиная улица, дом 13, строение 1",'252782001367378200100100011480000244',6793.67
№0373100031925000806,Поставка лекарственного препарата для медицинского применения МНН Оксалиплатин,'251770503432277050100100452822120244',199500.0
№0373200649625000010,"Поставка канцелярских товаров, бумаги и бумажных изделий","251772403563577240100100500010000244, 252772418938577240100100580010000244, 252772484838077240100100510010000244, 252772514433077250100100490010000244, 252772520003177250100100410010000244, 252772524764077250100100390010000244, 252772525920477250100100460010000244, 252772568440077250100100390010000244, 252772576679777250100100350010000244, 252773600037077250100100430010000244",1645304.6
№0109300012625000020,выполнение работ по обустройству контейнерных площадок на территории городского поселения Рузаевка,'253132413290813240100100210024399244',448483.2
№0368300028625000060,Анализатор биоимпедансный обменных процессов и состава тела,'252732801442373280100100880012660244',450000.0
№0187200001725001413,Поставка жилого помещения (квартиры),'252860100391786010100100445656810412',4310964.0
№0816500000625013493,Счетчик производства и потребления жидкости,'252143506040914350100100290070000244',54743.0
№0373100041925000014,Поставка лабораторных питательных сред,'251770404520177040100100420012059244',157853.28
№0163200000325005269,"Работы по техническому обслуживанию оборудования блочно-модульной газовой котельной, техническому обслуживанию газопровода к модульной котельной, техническому обслуживанию установки газорегуляторной, обслуживанию тепловых сетей (№ 3201-эзк)",'252672600947767260100100060014322244',255000.0
№0381500000125000090,"Выполнение работ по озеленению набережной реки Мзымта, пгт. Сириус",'252236702591023780100101040014299244',10246514.04
№0148300043525000027,Поставка имплантатов и принадлежностей (лот 4),'253502800559050280100100410013250244',600000.0
№0432200000825002075,Ц-2281_Закупка лекарственных средств_АЛИРОКУМАБ,'252526013629952600100100622810000000',32186000.0
№0258100000125000066,Оказание услуг по предоставлению неисключительных пользовательских прав (лицензий) на использование компьютерного программного обеспечения офисных пакетов,'252616402597561630100101190120000244',639375.0
№0190200000325011253,Поставка расходных материалов для медицинского применения(Лампы ультрафиолетовые; лампы накаливания с вольфрамовой нитью),'252890300926389030100100830092740244',35900.0
№0360300019625000099,Оказание услуг по проведению специальной оценке условий труда,'253645300797564530100101220017120244',18709.95
№32515210734,Поставка одноразовых перчаток ,,373400.0
№0366200035625006882,Поставка инструментов медицинских,'252710501529371050100100032160000244',1972446.0
№0888600000425000167,"РП пожарной сигнализации, системы оповещения и управления эвакуацией людей при пожаре административного здания по адресу: Район Анадырский, с. Мейныпильгыно, ул. Юбилейная, 18, КО ""Досуговый центр""",'253870901442487010100100210034321243',1509586.51
№0372200034825000081,"Выполнение работ по разработке проектно-сметной документации по капитальному ремонту здания СПб ГБПОУ «Колледж судостроения, информационных и прикладных технологий» по адресу: Санкт-Петербург, В.О. ул. Кораблестроителей, дом 18, лит. А",'252780505901778050100100230024110243',9676747.7
№32515210039,Поставка овощей и фруктов на 4 квартал 2025 года,,108426.07
№0815500000525012336,Поставка шовного материала,'252212730352121300100101920012120244',1427023.5
№32515210038,Изготовление по индивидуальному заказу и поставка блочной комплектной трансформаторной подстанции,,16701910.68
№0304100009225000018,Ремонт автотранспорта,'251071103165507250100100240254520244',84964.0
№0387200000325000222,Поставка продуктов питания (молоко питьевое),'252860200080686020100102760041051244',4528734.39
№0319200061125000040,Поставка медицинского оборудования (Центрифуга лабораторная),'252246500403324650100100590012829244',401126.66
№0155300002425000010,Поставка МФУ,'253580902613958090100100210022620242',618030.0
№0360300019625000100,Поставка носителей ключевой и идентификационной информации,'253645300797564530100101230012620244',99583.5
№32515194330,КО №26P10193 (2521) - Поставка металлорукавов для нужд ПАО «МОЭК»,,9843566.06
№0372200052125000177,"Поставка кушеток медицинских для оснащения вновь вводимого объекта СПБ ГБУЗ ДГП № 49 в 2025 году по адресу: Санкт-Петербург, внутригородское муниципальное образование города федерального значения Санкт-Петербурга поселок Шушары, территория Пулковское, Соколиная улица, дом 13, строение 1",'252782001367378200100100011540000244',52125.56
№0101100000625000098,Поставка с монтажом насосной канализационной станции в здании Дюртюлинского районного суда Республики Башкортостан,'251027405995102740100100950014221244',1787547.0
№0148300009125000078,"Выполнение работ по устройству металлического ограждения на кладбище в с. Макарово по адресу: Московская область, г. Черноголовка, с. Макарово, территория муниципального кладбища с. Макарово",'253503102976050310100100470014329244',1001647.45
№0360300199925000245,Поставка лекарственного препарата для медицинского применения « МНН ЛИДОКАИН»,'253645304334964530100103900012120244',5540.0
№0167200003425006862,"на оказание услуг по проведению периодического медицинского осмотра сотрудников Ишимского филиала ГБУЗ ТО "" ОКПБ"" (филиал №1)",'252722400925072240100102250018621244',376115.0
№32515210732,"Монтажно-ремонтные работы системы пожарной сигнализации, оповещения и управления эвакуацией людей на объекте: филиала ГУП РК ""Солнечная Таврика"" Санаторий ""Дружба"", расположенного по адресу: РФ, Республика Крым, г. Евпатория, ул. Маяковского, 7,лит. Д (корпус 8)",,2126505.54
№0361200015025004829,Поставка расходного материала для нейрохирургии,'252650102556865010100109010013250244',1498949.14
№32515210033,Разработка проектно-сметной документации,,350000.0
№32515210032,Поставка клипс ,,297600.0
№32515210731,Поставка товара:  Газообразные газы                          ,,245970.0
№0160600006525000036,"Выполнение работ по разработке проектно-сметной документации по объекту: ""Реконструкция трамвайного депо в муниципальном образовании ""Город Саратов""",'253645011915964530100100060027112414',71860239.0
№0373200010825000550,"Поставка расходных материалов для лаборатории для ГБУЗ ""ГКБ им. Д.Д. Плетнёва ДЗМ""",'252771904718477190100105910010000244',1010270.0
№0848300046025000582,"Приобретение жилых помещений детям-сиротам и детям, оставшихся без попечения родителей (2)",'253501100245750110100100690016810412',3146404.33
№0358300079425000741,Приобретение канцтоваров,'252616101138961610100101490020000244',58856.8
№0843500000225005185,На поставку лекарственных препаратов для медицинского применения в целях социального обеспечения (Офатумумаб) Лот 1,'252450109049045010100100171032120323',1219030.56
№32515210029,"Оказание услуг по изготовлению, поставке и установке вывесок, табличек, стендов для брендирования районной больницы",,1516071.81
№0816500000625013187,Поставка светодиодного экрана для муниципального бюджетного учреждения культуры им.В.Ноева СП «Батаринский 1-й наслег»,'253141500796814150100100060022790244',1148530.9
№0816500000625012925,"Оказание услуг интернет связи для нужд ГБУ РС (Я) ""Намская ЦРБ"" на 2025-2026 гг",'252141700228114170100100010030000244',2075084.76
№0372200277325000721,Поставка игл для биопсии в 2026 году,'252784331175778430100100192440000244',3262000.0
№0815500000525012335,"Поставка манжеты для измерения артериального давления, многоразового использования",'252212804144521300100103050013250244',384575.0
№0816500000625013029,"Оказание услуг по передаче лицензионных прав на операционную систему ""Astra Linux Special Edition"" (ОМС).",'252143504729214350100100370050000244',360360.0
№0816500000625012960,"Выполнение работ по созданию противопожарных разрывов, предназначенных для остановки сильных низовых пожаров на территории ГКУ РС(Я) «Алданское лесничество» Республики Саха (Якутия)",'252143503572314350100100370060240244',1992636.0
№0816500000625013076,Выполнение работ по устройству автобусных павильонов на участке км 7+000 – км 8+000 автомобильной дороги «Якутск-Маган» на территории ГО «г. Якутск» Республики Саха (Якутия),'252143523881114350100101100014211244',666666.66
№0187300008425000260,"Выполнение работ по текущему ремонту крыльца Административного здания, расположенного по адресу: ХМАО-Югра, г. Ханты-Мансийск, ул. Гагарина, 214",'253861800124186180100101940014399244',1741097.0
№0301300017225000184,Подгузники для взрослых,'252020200061302020100106360010000244',13440.0
№0360300121525000109,,'252643800116864380100100280020000244',367500.0
№0859200001125010856,"Поставка медицинского изделия (Система ультразвуковой визуализации универсальной, с питанием от сети), ввод в эксплуатацию медицинского изделия, обучение правилам эксплуатации специалистов, эксплуатирующих медицинское изделие, и специалистов, осуществляющих техническое обслуживание медицинских изделий",'252622910085662290100100630012660244',15500000.0
№0187200001725001518,Поставка жилого помещения (квартиры),'252860100391786010100100446416810412',5249412.0
№0105200000125000045,Ноутбук,'252081405567208160100100220440000244',260400.0
№0351200012225000143,"Поставка расходных материалов для генетического анализатора «НАНОФОР 05» (Синтол, Россия), находящегося в эксплуатации у заказчика",'252540410508654040100101310010000244',1601700.0
№32515210730,Поставка товара: Насосы возвратно-поступательные объемного действия для перекачки жидкостей,,537760.0
№0303300064725002009,"Трансляция на телевизионном канале, имеющем статус официально зарегистрированного средства массовой информации, информационно телевизионных выпусков о деятельности Администрации Муниципального образования городского округа «город Махачкала» и ее органов, о политическом, экономическом и социальном развитии г.Махачкалы",'253056204252005720100100160036020244',641940.0
№0183500008425000002,поставка огнетушителей ,'252940302663294030100100320012829244',38340.06
№0112200000825004041,"Оказание дополнительных услуг по содержанию автомобильной дороги Кара-Хаак - Черби, км 0+000 – км 8+638",'252170104169517010100100270094211244',2888194.26
№32515210728,Поставка диагностических наборов,,108786.33
№0875300036625000018,Поставка ранец противопожарный «РП-18 Ермак» или эквивалент,'253910100337191010100100050010000244',532383.0
№32515210727,"Услуги по инкассации, приему и зачислению денежной наличности",,180000.0
№0128200000125005139,"Поставка товара «Лекарственный препарат для медицинского применения ""ИММУНОГЛОБУЛИН ЧЕЛОВЕКА АНТИРЕЗУС RHO[D]""»",'252332900762233290100104820012120244',180001.8
№0306300008725000304,"Поставка картриджей (картридж с браслетами, картридж веревочного полипропилена) ",'252100600225310060100100040130000244',6302.27
№32515210023,"Поставка рыбы для нужд ГАУСО СО ""ЦСПСиД Артемовского района"" в период с октября 2025 г. по декабрь 2025 г.",,116086.67
№0167200003425006861,"оказание услуг по стирке, сушке и глажке белья для нужд  ГБУЗ ТО «Областная больница № 11»(р.п. Голышманово)",'252721400465472200100102850019601244',458750.0
№32515210725,Энерджитрио -Энергетическая добавка (канистра 25 л),,397840.0
№32515210724,"Поставка энергетической арматуры с высокими и сверхвысокими параметрами (далее ВиСВ)  для нужд ПАО «Т Плюс», а также дочерних или зависимых компаний, находящихся под управлением филиалов: ООО «Комитеплоэнерго», АО «ЕТК», АО ""ЭнергоремонТ Плюс"" по лотам: Лот №1. Энергетическая арматура ВиСВ параметров (запорная); Лот №2. Энергетическая арматура ВиСВ параметров (регулирующая). (4167450)",,0.0
№32515210724,"Поставка энергетической арматуры с высокими и сверхвысокими параметрами (далее ВиСВ)  для нужд ПАО «Т Плюс», а также дочерних или зависимых компаний, находящихся под управлением филиалов: ООО «Комитеплоэнерго», АО «ЕТК», АО ""ЭнергоремонТ Плюс"" по лотам: Лот №1. Энергетическая арматура ВиСВ параметров (запорная); Лот №2. Энергетическая арматура ВиСВ параметров (регулирующая). (4167450)",,0.0
№32515201056,"Поставка запорной арматуры (стальной и чугунной) для аварийного запаса МУП ""ТВК г. Пущино""",,3595659.16
№0306300008725000303,Поставка термоэтикеток,'252100600225310060100100300070000244',89030.0
№0818500000825006592,Поставка медицинского оборудования (Кровать функциональная),'252230902310223090100101140023250244',2066666.68
№0351300075525000119,Поставка изделий медицинского назначения (пробирки вакуумные).,'252542010025454200100101340023250244',66360.0
№32515210723,Закупка канцелярских товаров,,59534.03
№0187200001725001412,Поставка жилого помещения (квартиры),'252860100391786010100100445666810412',4310964.0
№0801500001125001489,"Выполнение комплекса строительно-монтажных работ по объекту: ""Строительство сетей водоснабжения в с. Гафурово муниципального района Туймазинский район Республики Башкортостан""",'253026902343802690100100740034221414',13802285.69
№0853600001225000039,Поставка  автомобиля легкового,'253562400443956240100100110012910244',1939000.0
№0843500000225005184,Оказание услуги частной охраны (выставление поста охраны) октябрь-декабрь 2025 года,'253450104976645010100100160018010244',424389.12
№0351300136425000519,Оказание услуг междугородной и международной телефонной связи,'252541410088054530100106120016110244',12000.0
№32515210722,Аудит бухгалтерской (финансовой) отчетности за 2025 г.,,324000.0
№0108500000425004374,Поставка реагентов для клинико-диагностической лаборатории (лот № 28) ,'252120800245712080100102210012120244',772517.1
№32515207566,Поставка осевых вентиляторов,,409959.17
№0172200006925000031,Оказание услуг по организации и проведению конференции по реализации Национальной технологической инициативы на территории Санкт-Петербурга,'252783848285278420100100160018230244',7412300.0
№0318300347825000185,,'253231800844623180100102860620000244',18612.0
№0148200005425000736,"Выполнение работ и оказание услуг, связанных с одновременным выполнением инженерных изысканий, подготовкой проектной документации, разработкой рабочей документации, выполнением работ по капитальному ремонту автомобильной дороги «Букинское шоссе» в го Лобня",'252500000152550240100107380014211243',587874080.8
№0843500000225005176,"Поставка оборудования для предметных кабинетов общеобразовательных организаций и образовательных организаций, на базе которых будет организовано функционирование ресурсно-методических центров по учебным предметам «Основы безопасности и защиты Родины», «Труд(Технология)».",'252450200312245020100100350013240244',621546.68
№32515210017,Поставка мяса цыплят бройлеров 1 категории замороженное,,147500.0
№32515202518,"219890_Поставка запасных частей водогрейного котла типа ПТВМ-180 для Уфимской ТЭЦ-2 филиала ООО ""БГК""",,938579.84
№0817200000325014962,"Поставка оборудования для Агро класса в рамках капитального ремонта здания МБОУ ""Кулундинская средняя общеобразовательная школа №2"" Кулундинского района Алтайского края находящегося по адресу: 658920 Алтайский край Кулундинский район с. Кулунда ул. Песчаная д. 19",'253225300307722530100100460010000243',1063150.0
№0144300001225000010,Выполнение работ по объекту: «Автомобильная дорога местного значения — общего пользования по  ул. Чкалова с. Мантурово   Мантуровского района Курской области»,'253461400451946140100100110014211244',2023348.62
№0128200000125005143,Закупка реагентов диагностических для используемого в учреждении гематологического анализатора Urit-5160 для нужд государственного бюджетного учреждения здравоохранения Владимирской области «Областной кожно-венерологический диспансер»,'252332900024033290100101370012120244',65699.34
№32515210720,Поставка расходных материалов (грант РНФ),,283526.0
№32515208516,"на поставку реагентов КДЛ для нужд ГАУ РС (Я) ""Мегино-Кангаласская ЦРБ""",,192535.05
№32515210016,"Поставка бакалейной продукции (какао-порошок, кофейный напиток растворимый, чай черный, кисель сухой) для нужд ГАУСО СО ЦСПСиД Артемовского района"" в период с октября 2025 г. по декабрь 2025 г.",,8800.33
№0123200002625000029,Шкаф деревянный для документов,'252280107857028010100101530070000244',26048.0
№0172300005425000101,Поставка печатных материалов для распространения среди жителей внутригородского муниципального образования города федерального значения Санкт-Петербурга поселок Шушары,'253782002953978200100101300015811244',35233.02
№0322200000125000248,Телефонный аппарат,'252272109307627220100104540010000414',28650.0
№0848300047125000352,Выполнение работ по текущему ремонту автомобильных дорог общего пользования местного значения в населенных пунктах городского округа Домодедово Московской области в 2025 году (ул. Коломийца мкр. Центральный (участок 2)),'253500910392350090100100440014211244',4676927.84
№0851600007225000184,"Приобретение жилого помещения в целях обеспечения детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей, благоустроенными жилыми помещениями специализированного жилищного фонда по договорам найма специализированных жилых помещений",'253541500014154150100100730146810412',3832625.0
№32515194583,Поставка страховочных поясов и касок (для кровельщиков) для нужд ГБУ «Жилищник Молжаниновского района» 2025-2027,,81639.1
№0860200000825007220,Поставка аппаратов ручных дыхательных,'252645504666664550100116680013250414',62750.01
№0351100002925001590,Поставка товаров гигрометра,'251540810634854080100100082450000244',200990.88
№32515210013,Поставка светотехнического оборудования и комплектующих,,3792115.66
№0119200000125017270,ЭА-№-17626/25 «Препараты психотропные КВЕТИАПИН»,'252246621260724660100100621180000323',1106400.0
№0848300047125000338,"Выполнение работ по поставке и установке универсальной спортивной площадки на земельном участке с кадастровым номером 50:28:0020207:452 по адресу: Московская область, г. Домодедово, мкр. Востряково",'253500910392350090100100420014299244',9186000.0
№32515210719,Поставка установок для генерации тяжелого дыма и аксессуаров,,4970847.33
№32515209235,Поставка дезинфицирующих средств на 4 квартал 2025 года,,86722.04
№0843500000225005183,"Поставка продуктов питания (мясо говядины, печень говяжья) в 4 квартале 2025 года",'252451002299345100100100200010000244',533820.0
№0372200277325000720,"Поставка пистолета биопсийного с режущим концом, многоразового использования в 2025 году.",'252784331175778430100100140680000244',1396533.32
№0322200000125000249,Телефонный аппарат,'252272109307627220100104550010000414',28650.0
№0375200002025000417,Поставка медицинских изделий для эндоваскулярной хирургии,'252910206042191020100100130423250244',3999999.0
№0342300139725000046,Шприц общего назначения ,'252637300083063730100100310040000244',24250.0
№0123200002625000030,Стол приставной,'252280107857028010100101530060000244',2990.33
№32515210397,"№ 50 Оснащение объектов системами оповещения и управления эвакуацией экстренного оповещения работников, обучающихся и иных лиц, находящихся на объекте, о потенциальной угрозе возникновения или о возникновении чрезвычайной ситуации по адресу г. Ижевск, ул. Дзержинского,95 (здания Литеры Б, Б1, Б2) для нужд АПОУ УР ""СТ""",,760825.21
№0101300031325000180,Устройство амфитеатра для молодежного пространства у фонтана по пр. Октября городского округа город Стерлитамак Республики Башкортостан,'253026803924102680100101200014299244',1536523.34
№0859200001125010850,Поставка реагентов для лабораторной диагностики,'252623000114462300100101940012120244',449884.6
№0323300110325000005,Поставка спортивного оборудования (ролл-мат),,665903.33
№0817200000325014806,Оказание услуг по производству и размещению информационных материалов профилактического содержания по антинаркотической тематике на информационном сайте и в социальных сетях,'252222508435622250100100160016311244',650000.0
№0373100108125000417,Поставка сантехнических материалов и оборудования (краны шаровые) для нужд ЛРКЦ «Юдино» - филиала ФГБУ «НМИЦ РК» Минздрава России,'251770404028177040100100110480000244',268179.1
№0373100029525000353,Поставка быстровозводимого модульного здания,'251772904049177290100102730010000244',295678400.0
№0131200001025007764,2025-08419*Поставка медицинских изделий (протезы тазобедренного сустава),'252360200410336020100100770013250244',4180000.0
№0319300003425000421,Оказание услуг по проведению периодического медицинского осмотра работников Управления по делам гражданской обороны и чрезвычайным ситуациям Администрации Таймырского Долгано-Ненецкого муниципального района,'253840101144584010100100660018621244',240066.04
№0118300018725000896,"Оказание услуг проведения медицинского осмотра лиц, занимающихся спортом, по программе углубленного медицинского обследования в соответствии с этапом спортивной подготовки",'253232011260623200100100100028621244',994740.0
№0851600007225000186,"Приобретение жилого помещения в целях обеспечения детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей, благоустроенными жилыми помещениями специализированного жилищного фонда по договорам найма специализированных жилых помещений",'253541500014154150100100730126810412',3832625.0
№32515210717,Изготовление печатной и сувенирной продукции для нужд РАМТ.,,1300000.0
№0105200000125000044,Ноутбук,'252081405567208160100100220450000244',150000.0
№0815500000525012333,Поставка оборудования и установка системы бескондукторной оплаты проезда пассажиров,'253212600065121300100100650010000000',18461433.56
№0859200001125010849,Поставка перевязочных материалов,'252621500302762150100100280010000244',135334.0
№32515210713,Оказание кадастровых услуг по подготовке межевого плана по образованию двух земельных участков в результате раздела земельного участка,,190000.0
№0841200000725001666,"Подготовка проектной документации и выполнение работ по капитальному ремонту объекта капитального строительства: «Капитальный ремонт лечебного здания с кадастровым номером: 44:27:040518:42, для оказания медицинской помощи взрослому населению по профилю «эндокринология»",'252444302008144010100100400010000243',89201061.41
№32515210712,Поставка планетарного миксера,,10300.0
№0118300018725000890,"Выполнение работ, связанных с осуществлением регулярных перевозок пассажиров и багажа автомобильным транспортом по регулируемым тарифам",'253232023015923200100100010234931244',16591098.42
№32515210395,"№ 51 Оснащение объектов системами оповещения и управления эвакуацией экстренного оповещения работников, обучающихся и иных лиц, находящихся на объекте, о потенциальной угрозе возникновения или о возникновении чрезвычайной ситуации по адресу г. Ижевск, ул. Буммашевская, 15б (здание Литер Г) для нужд АПОУ УР ""СТ""",,1411636.37
№0119300019825001549,Поставка печени говяжьей для ОУ г. Красноярска,'253246202227424620100100150011011244',59400.0
№0843500000225005182,"Поставка товара на объект: «Капитальный ремонт здания мастерской МБОУ г. Кургана «СОШ №44», по адресу: г. Курган, ул. Спортивная, д.11» (мармит)",'253450104046745010100100210013109244',179254.4
№32515209230,Оказание услуг частной охраны (выставление поста охраны),,599130.0
№0815500000525012324,Благоустройство ограждения по улице Юбилейная в селе Шемурша,'253210000330521000100101000014329244',203834.83
№0345300017825000110,Поставка картриджей для оборудования Катюша для нужд ГБУЗ ЛО «Волосовская МБ» в 2025 году.,'253471700251347050100101090010000244',882135.0
№0830500000225003532,"Поставка нарукавных знаков, нашивок и эмблем",'252352520908635250100101370011396244',962149.5
№0328300014225000279,"Поставка лекарственных препаратов для медицинского применения МНН Калия хлорид+Кальция хлорид+Магния хлорид+Натрия ацетат+Натрия хлорид+Яблочная кислота, Пропофол",'252332810143933290100102440010000244',66087.0
№0851100001925000479,Поставка компьютеров и периферийного оборудования,'251770989550954024300100330760000242',121665.0
№32515210003,Поставка комплектующих для устройства заземления,,64689.02
№0311200030425000035,Поставка запасных частей копировальной техники (фьюзер),'252164800806516480100100450012823244',61000.0
№0815500000525011867,Ремонт участка автомобильной дороги по ул. Южная от дома № 3 до дома № 21 в д. Сеткасы Ядринского муниципального округа Чувашской Республики,'253210000219621000100103030014211244',490362.31
№32515209999,Поставка медицинской обуви для нужд АО Санаторий «Красноусольск»,,131190.0
№0356500001425007716,"ВЫПОЛНЕНИЕ РАБОТ ПО СОДЕРЖАНИЮ АВТОМОБИЛЬНЫХ ДОРОГ, ВОССТАНОВЛЕНИЕ ИЗНОШЕННЫХ ВЕРХНИХ СЛОЕВ АСФАЛЬТОБЕТОННЫХ ПОКРЫТИЙ В П. ПРОТАСЫ НА ТЕРРИТОРИИ КУЛТАЕВСКОГО ТЕРРИТОРИАЛЬНОГО УПРАВЛЕНИЯ															 ",'253594803752259480100100710010000244',2453108.01
№0118300018725000894,Реконструкция объектов освещения,'253232016983523200100100180054222244',4490068.71
№0122300006125001055,Приобретение ГСМ в 4 квартале 2025 года,'253272414627027240100100030011920244',4500000.0
№0119200000125017269,ЭА-№-17659/25 «Препараты для лечения заболеваний сердца (АМИОДАРОН)»,'252246621260724660100100517690000323',1020600.0
№0173200001425000952,Поставка мебели для оснащения помещений Совета ветеранов районов Южного административного округа города Москвы в 2025 году,"252772425606377240100100060010000244, 252772521539877250100100070010000244, 252772521587077250100100050010000244, 252772632114177260100100100010000244, 252773712852777240100100130010000244",179392202.19
№32515208498,Поставка профнастила С-21,,459973.55
№0362400002225000254,Поставка мыла жидкого туалетного,'251666302589066864300100040340000244',116858.4
№0151300009925000061,"Приобретение четырехкомнатной квартиры в городе Новосибирске для переселения граждан из жилого дома, признанного аварийным и подлежащим сносу в порядке, установленном Правительством Российской Федерации",'253540641809154060100100770016810412',9968982.0
№0356500001425007715,"Устройство подземного пожарного резервуара по адресу: Пермский край, Октябрьский район, с. Енапаево ",'253591700606659170100100390010000244',2106538.51
№0194200000525005173,Поставка изделий медицинского назначения,'253200400002020150100100860013250244',2268493.46
№32515210711,"Поставка соды кальцинированной для нужд ПАО ""Форвард Энерго"" в 2026г. (рамочный)",,11801000.0
№0387200002825000974,Поставка медицинских расходных материалов,'252860100444586010100112050013250244',1480229.5
№0352200045425000006,Система контроля и управления доступом(СКУД) (Реестровый номер 2025.058979),'252550407424055040100100180012630244',212805.65
№0801500001125001448,Содержание мостов и путепроводов на автомобильных дорогах Республики Башкортостан,'252027416293402740100101730014211244',10120350.0
№32515209996,Выполнение работ по капитальному ремонту территории МАУ «ЦПКиО им. Ю.А. Гагарина». Стационарный каток (Площадка размещения катка).,,44177443.91
№0348100062025000234,Оказание услуг по проведению предрейсовых и послерейсовых медицинских осмотров,'251990100003499010100100270018690244',258324.52
№32515209995,"Поставка фруктов для нужд ГАУСО СО ""ЦСПСиД Артемовского района"" в период с октября 2025 г. по декабрь 2025 г.",,175684.0
№32515210710,Поставка материалов стоматологических для Санкт-Петербургского государственного бюджетного учреждения здравоохранения «Поликлиника стоматологическая № 16» в 2025 году,,357464.0
